Complexity,Loss,Equation
1,0.00055107725,"0.0"
3,0.0004354544,"x3 * -8.135933e-5"
5,0.00037991768,"(x16 - x0) * 0.026187912"
7,0.0002227362,"((-0.00022473751 * x3) - 0.067614555) - x15"
9,0.00022173254,"(((x3 * -0.00022473751) - 0.067614555) - x15) * 0.9314186"
11,0.00021939038,"(((x3 * -0.00022473751) - 0.06692815) - x15) * (x12 + x14)"
13,0.00021936999,"(x12 + x14) * (((x3 * -0.00022473751) - 0.06692815) - sin(x15))"
15,0.00021880546,"sin((((-0.00022473751 * x3) - 0.06692815) - x15) * ((x14 + x12) + x12))"
19,0.00021722997,"(((x3 * -0.0008581696) - 0.26451427) * (cos(x11 - -0.57431823) * 0.2535848)) - (sin(x13) * 0.97734743)"
21,0.0002169366,"((((x3 * -0.0008581696) - (0.26451427 * x14)) * cos(sin(-0.6117711) - x11)) * 0.2535848) - (0.97734743 * x13)"
23,0.00021686347,"(cos(x11 - -0.57431823) * (((x3 * -0.0008581696) - (x14 * 0.26451427)) * 0.2535848)) - (sin(sin(x13)) * 0.97734743)"
25,0.00021595768,"((((x3 * -0.0008581696) - (0.26451427 * x14)) * cos((sin(-0.6117711) + x12) - x11)) * 0.2535848) - sin(x13 * 0.97734743)"
26,0.00021426225,"((x0 - (x16 * 0.8286897)) * ((x4 * -0.01860208) + ((x16 + -0.21542741) - ((x5 * (x0 + log(1.3006935 - x16))) * -0.033332866)))) * 0.033097595"
28,0.0002133553,"(((x0 - x15) - (x16 * 0.82890177)) * (((x16 + -0.2152418) - (((log(1.3001474 - x16) + x0) * x5) * -0.0347197)) + (x4 * -0.020015184))) * 0.032067202"
30,0.00021329788,"((x14 * (x4 * -0.020015184)) + ((-0.2152418 + x16) - ((-0.0347197 * x5) * (x0 + log(1.3001474 - x16))))) * (0.032083705 * ((x0 - x13) - (x16 * 0.82890177)))"
