Complexity,Loss,Equation
1,0.00055107725,"0.0"
3,0.00043545364,"x3 * -8.15645e-5"
5,0.00037708678,"(-0.08531408 - x13) - x12"
6,0.000361538,"log(0.9153868 - x13) - x12"
7,0.00022207311,"((x3 * -0.00021859234) - 0.067298844) - x13"
9,0.00022161276,"(((x3 * -0.00022473751) - 0.067614555) - x13) * 0.9458534"
11,0.00021040752,"((x3 * -0.00017191499) - ((x12 + 0.3314912) * 0.21538809)) - x13"
13,0.00019862808,"(((-0.0005903458 * x3) + (-0.26618907 - x12)) * (x13 + 0.33091044)) - x13"
14,0.0001963623,"(sqrt(0.14092484 + x15) * ((x3 * -0.0005406944) - (x12 + 0.25332606))) - x15"
15,0.00019339722,"((((x3 * -0.0003821746) - (x12 + 0.20331204)) * 2.2009296) * (x13 + 0.2240456)) - x13"
16,0.0001930827,"(((x3 * -0.0005326251) - (x12 + (x12 + 0.33620253))) * sqrt(x15 + 0.10989557)) - x13"
17,0.00018419992,"((((x3 * -0.00036848616) - (0.19963051 + x12)) * (x13 + 0.24545796)) * (1.6447257 - x11)) - x13"
19,0.0001822269,"((1.063026 - x11) * (((x3 * -0.00055063004) - (x12 + (x12 + 0.34465602))) * (0.21378407 + x15))) - x13"
21,0.0001820963,"((((x15 + 0.21378407) * (1.063026 - x11)) * ((x3 * -0.00055063004) - (x12 + (x12 + 0.34465602)))) - x13) * 1.0200758"
22,0.00018153977,"(log((-0.00050579285 * x3) + (x14 - ((0.33091068 + x12) + x12))) * ((x15 + 0.20178208) * (1.0016383 - x11))) - x15"
24,0.00018138233,"((log(x14 + (((x16 + x3) * -0.00050579285) - (x12 + (x12 + 0.33091068)))) * (x15 + 0.20178208)) * (1.0016383 - x11)) - x15"
25,0.0001812361,"(((x15 + 0.20178208) * (0.9998674 - x11)) * log((((x3 * -0.00050579285) + x14) + log(x14)) - (x12 + (0.33091068 + x12)))) - x15"
26,0.0001796318,"((1.0341144 - x11) * ((x15 + 0.20178202) * (((x3 + (x5 * -0.40435708)) * -0.0006049416) + log(x14 - ((x12 + x12) + 0.33091044))))) - x15"
28,0.00017907796,"(((1.0079 - x11) * (x15 + 0.20178202)) * (((x3 + (x5 * -0.41783538)) * -0.0006049416) + log(x14 + (-0.0035988088 - ((x12 + x12) + 0.33091044))))) - x15"
30,0.00017879461,"(((1.0079 - x11) * ((((x3 + (x5 * -0.5278524)) * -0.0006049416) + log(x14 - (x12 + (x12 + 0.33091044)))) * (x15 + 0.20178202))) + -0.0006049416) - (x15 * 0.9888706)"
