Complexity,Loss,Equation
1,0.0031289733,"-7.4386137e-9"
3,0.0026262617,"x16 * -0.04667876"
5,0.001680319,"(x3 * 0.0004436819) - x12"
7,0.0011546247,"((x3 - x5) * 0.000480381) - x12"
9,0.0008670771,"(((x3 - x5) * 0.00040388008) - x12) * 1.7059268"
11,0.00086413504,"sin((((x3 - x5) * 0.00040388008) - x12) * 1.7248122)"
13,0.00086029724,"sin(1.7687716 * ((0.00040262632 * (x3 - (x5 + x16))) - x12))"
15,0.0008564429,"sin(sin(1.7687716 * (((x3 - (x5 + x16)) * 0.00040262632) - x12)))"
17,0.0008531579,"sin(sin(sin(1.7687716 * (((x3 - (x5 + x16)) * 0.00040262632) - x12))))"
18,0.0008492503,"(((x3 * ((x16 * x12) + 0.09516355)) + log(x0 + (x0 + 0.54350793))) * 0.01085532) - x12"
19,0.0007514089,"(((x0 * (0.028164785 - x12)) * x4) - (x3 * -0.028727142)) * ((x10 * -0.2745614) + (x12 * x16))"
21,0.0006377311,"((x0 * ((x2 - (x12 - -0.2525267)) * x4)) - (x3 * -0.028496481)) * ((x12 * x16) + (x10 * -0.27517772))"
23,0.00058221136,"((x10 * -0.28028834) + (x16 * x12)) * (((((x2 - (x12 - -0.23670106)) * x0) * x4) - (x3 * -0.036406152)) * 0.72694665)"
25,0.00057792355,"0.724219 * sin(((x12 * x16) + (x10 * -0.27964032)) * (((x4 * (x2 - (x12 - -0.23598729))) * x0) - (x3 * -0.03701624)))"
27,0.00057395437,"0.7270192 * sin(sin(((x16 * x12) + (-0.27928606 * x10)) * (((x2 - (x12 - -0.23554279)) * (x4 * x0)) - (x3 * -0.03715159))))"
28,0.00057182787,"(((x4 * (x2 - (x12 - -0.23567344))) * x0) - (x3 * -0.036780946)) * (((x16 * x12) + (log(x10 - -0.92739516) * -0.17857127)) * (x12 - x1))"
29,0.0005705347,"sin(sin(sin(((x10 * -0.27928606) + (x16 * x12)) * (((x4 * x0) * (x2 - (x12 - -0.23554279))) - (x3 * -0.03715159))))) * 0.7394853"
30,0.00056743267,"(x12 - x1) * sin((((x0 * (x2 - (x12 - -0.23436251))) * x4) - (x3 * -0.037482634)) * ((x16 * x12) + (log(x10 - -0.9297063) * -0.17992665)))"
