complexity,loss,score,equation,sympy_format,lambda_format
1,0.0006137063,0.0,-9.056578e-11,-9.05657800000000e-11,PySRFunction(X=>-9.05657800000000E-11)
3,0.00027157433,0.4076402988588986,(x15 - x17),x15 - x17,PySRFunction(X=>x15 - x17)
5,0.00026292956,0.01617485681104358,((x15 - x17) * 1.1862198),1.1862198*x15 - 1.1862198*x17,PySRFunction(X=>1.1862198*x15 - 1.1862198*x17)
7,0.00024045243,0.04468194494040085,((x15 - x17) - (0.005184545 * x13)),-0.005184545*x13 + x15 - x17,PySRFunction(X=>-0.005184545*x13 + x15 - x17)
9,0.0002309746,0.02010726297880272,((x15 - x17) + (0.008135656 * (x3 - x15))),0.991864344*x15 - x17 + 0.008135656*x3,PySRFunction(X=>0.991864344*x15 - x17 + 0.008135656*x3)
11,0.00022779292,0.006935388565353607,((x15 - x17) + (0.008135656 * (x3 - sin(x15)))),x15 - x17 + 0.008135656*x3 - 0.008135656*sin(x15),PySRFunction(X=>x15 - x17 + 0.008135656*x3 - 0.008135656*sin(x15))
12,0.00022664545,0.005050068455609828,((x15 - x17) + (0.008135656 * (x3 - tanh(x15)))),x15 - x17 + 0.008135656*x3 - 0.008135656*tanh(x15),PySRFunction(X=>x15 - x17 + 0.008135656*x3 - 0.008135656*tanh(x15))
15,0.000220637,0.00895602834552177,(((x15 - x17) + ((0.005184545 * 1.8860399) * ((x3 * 1.3183665) - x17))) * 0.85312307),0.85312307*x15 - 0.861465128109846*x17 + 0.0109978899530743*x3,PySRFunction(X=>0.85312307*x15 - 0.861465128109846*x17 + 0.0109978899530743*x3)
16,0.0002171723,0.015827769444778837,(((x15 - x17) * 0.7753407) + ((0.005184545 * 2.1463501) * (x3 - tanh(x17)))),0.7753407*x15 - 0.7753407*x17 + 0.0111278486792045*x3 - 0.0111278486792045*tanh(x17),PySRFunction(X=>0.7753407*x15 - 0.7753407*x17 + 0.0111278486792045*x3 - 0.0111278486792045*tanh(x17))
20,0.00021643682,0.000848091831341956,((((x15 - x17) * 0.7753407) + ((0.005184545 + (0.005184545 * 2.1463501)) * (x3 - tanh(x17)))) * 0.85312307),0.661461038279949*x15 - 0.661461038279949*x17 + 0.0139164793746515*x3 - 0.0139164793746515*tanh(x17),PySRFunction(X=>0.661461038279949*x15 - 0.661461038279949*x17 + 0.0139164793746515*x3 - 0.0139164793746515*tanh(x17))
22,0.00021643496,4.296884403052777e-06,(sin(((x15 - x17) * 0.7753407) + ((0.005184545 + (0.005184545 * 2.1463501)) * (x3 - tanh(x17)))) * 0.85312307),0.85312307*sin(0.7753407*x15 - 0.7753407*x17 + 0.0163123936792045*x3 - 0.0163123936792045*tanh(x17)),PySRFunction(X=>0.85312307*sin(0.7753407*x15 - 0.7753407*x17 + 0.0163123936792045*x3 - 0.0163123936792045*tanh(x17)))
23,0.00021643359,6.329866191453846e-06,(tanh(((x15 - x17) * 0.7753407) + ((0.005184545 + (0.005184545 * 2.1463501)) * (x3 - tanh(x17)))) * 0.85312307),0.85312307*tanh(0.7753407*x15 - 0.7753407*x17 + 0.0163123936792045*x3 - 0.0163123936792045*tanh(x17)),PySRFunction(X=>0.85312307*tanh(0.7753407*x15 - 0.7753407*x17 + 0.0163123936792045*x3 - 0.0163123936792045*tanh(x17)))
25,0.00021636666,0.0001546440893542638,(tanh(((x15 - x17) * 0.7753407) + ((0.005184545 + ((0.005184545 * 0.8682162) * 2.1463501)) * (x3 - tanh(x17)))) * 0.85312307),0.85312307*tanh(0.7753407*x15 - 0.7753407*x17 + 0.0148459234944339*x3 - 0.0148459234944339*tanh(x17)),PySRFunction(X=>0.85312307*tanh(0.7753407*x15 - 0.7753407*x17 + 0.0148459234944339*x3 - 0.0148459234944339*tanh(x17)))
27,0.00021448793,0.004360501085428137,(((tanh(x15 - x17) * 0.7753407) + ((abs(0.005184545) + abs((0.005184545 * 2.1463501) * x11)) * (x3 - tanh(x17)))) * 0.85312307),0.85312307*(x3 - tanh(x17))*(0.0111278486792045*Abs(x11) + 0.005184545) + 0.661461038279949*tanh(x15 - x17),PySRFunction(X=>0.85312307*(x3 - tanh(x17))*(0.0111278486792045*Abs(x11) + 0.005184545) + 0.661461038279949*tanh(x15 - x17))
