complexity,loss,score,equation,sympy_format,lambda_format
1,0.0032513821,0.0,2.2716339e-8,2.27163390000000e-8,PySRFunction(X=>2.27163390000000E-8)
3,0.001487367,0.3910363624032877,(0.042000182 * x13),0.042000182*x13,PySRFunction(X=>0.042000182*x13)
5,0.0009330292,0.23316311220412775,((x17 - x3) * 0.053069383),0.053069383*x17 - 0.053069383*x3,PySRFunction(X=>0.053069383*x17 - 0.053069383*x3)
7,0.00089688326,0.01975539429383977,(((0.895721 * x15) - x3) * 0.056770235),0.050850291664435*x15 - 0.056770235*x3,PySRFunction(X=>0.050850291664435*x15 - 0.056770235*x3)
8,0.0008940027,0.0032169133584921783,((x15 - x3) * abs(0.053022906 * x11)),0.053022906*(x15 - x3)*Abs(x11),PySRFunction(X=>0.053022906*(x15 - x3)*Abs(x11))
9,0.0008396683,0.06270186240421746,((((x17 - x3) - x16) - x3) * 0.03326336),-0.03326336*x16 + 0.03326336*x17 - 0.06652672*x3,PySRFunction(X=>-0.03326336*x16 + 0.03326336*x17 - 0.06652672*x3)
11,0.0007786785,0.03770434040830997,(((sin(x17) - x16) - (x3 * 1.8481069)) * 0.04080069),-0.04080069*x16 - 0.075404036713761*x3 + 0.04080069*sin(x17),PySRFunction(X=>-0.04080069*x16 - 0.075404036713761*x3 + 0.04080069*sin(x17))
12,0.00073904824,0.052235055862724936,((((0.3908822 * x13) - x16) - x3) * abs(0.04973634 * x2)),0.04973634*(0.3908822*x13 - x16 - x3)*Abs(x2),PySRFunction(X=>0.04973634*(0.3908822*x13 - x16 - x3)*Abs(x2))
13,0.0006960356,0.059962387767999524,((((sin(x17) - sin(x3)) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(x17) - 0.048152514*sin(x3),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(x17) - 0.048152514*sin(x3))
15,0.0006470733,0.03647061412516066,((((sin(x17 - -0.17266907) - x3) - x16) - sin(x3)) * 0.05041094),-0.05041094*x16 - 0.05041094*x3 - 0.05041094*sin(x3) + 0.05041094*sin(x17 + 0.17266907),PySRFunction(X=>-0.05041094*x16 - 0.05041094*x3 - 0.05041094*sin(x3) + 0.05041094*sin(x17 + 0.17266907))
16,0.0006267672,0.03188440038029781,((((sin(x15) - tanh(x3 * 1.6283746)) - x16) - x3) * 0.047050774),-0.047050774*x16 - 0.047050774*x3 + 0.047050774*sin(x15) - 0.047050774*tanh(1.6283746*x3),PySRFunction(X=>-0.047050774*x16 - 0.047050774*x3 + 0.047050774*sin(x15) - 0.047050774*tanh(1.6283746*x3))
17,0.0006261233,0.0010278632597025752,(((((sin(x17) - (x10 - x12)) - sin(x3)) - x16) - x3) * 0.04973634),-0.04973634*x10 + 0.04973634*x12 - 0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(x17) - 0.04973634*sin(x3),PySRFunction(X=>-0.04973634*x10 + 0.04973634*x12 - 0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(x17) - 0.04973634*sin(x3))
18,0.0006069903,0.031034505860127622,((((sin(x15 * 1.1735235) - tanh(x3 + x3)) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3))
19,0.00060113386,0.009695172180978503,((((sin(x15 * 1.1735235) - sin(sin(x3) * 1.8151573)) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*sin(1.8151573*sin(x3)),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*sin(1.8151573*sin(x3)))
20,0.00059148035,0.01618917627909592,((((sin(x15 * 1.1735235) - tanh(x3 + (x3 + x6))) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + x6),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + x6))
22,0.000579699,0.010059729463542345,((((sin(x15 * 1.1735235) - tanh(x3 + (x3 + (x6 * 0.3658464)))) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + 0.3658464*x6),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + 0.3658464*x6))
23,0.00057566894,0.0069762647986538525,((((sin(x15 * 1.1735235) - tanh(x3 + (x3 + tanh(x6)))) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + tanh(x6)),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + tanh(x6)))
25,0.0005743172,0.0011754407949201814,((((sin(x15 * 1.1735235) - tanh(x3 + (x3 + sin(tanh(x6))))) - x16) - x3) * 0.048152514),-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + sin(tanh(x6))),PySRFunction(X=>-0.048152514*x16 - 0.048152514*x3 + 0.048152514*sin(1.1735235*x15) - 0.048152514*tanh(2*x3 + sin(tanh(x6))))
26,0.00057196553,0.004103129599323201,((((sin(x17 * 1.1735235) - tanh(x3 + (x3 + tanh(x6 * abs(x14))))) - x16) - x3) * 0.04973634),-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + tanh(x6*Abs(x14))),PySRFunction(X=>-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + tanh(x6*Abs(x14))))
27,0.00056588306,0.010691278243189125,((((sin(x17 * 1.1735235) - tanh(x3 + (x3 + sin(x6 * abs(x14 + x0))))) - x16) - x3) * 0.04973634),-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + sin(x6*Abs(x0 + x14))),PySRFunction(X=>-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + sin(x6*Abs(x0 + x14))))
28,0.00055671437,0.01633514140110883,((((sin(x17 * 1.1735235) - tanh(x3 + (x3 + sin(x6 * square(x14 + x0))))) - x16) - x3) * 0.04973634),-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + sin(x6*(x0 + x14)**2)),PySRFunction(X=>-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + sin(x6*(x0 + x14)**2)))
29,0.00055483065,0.0033893756337943525,((((sin(x17 * 1.1735235) - tanh(x3 + (x3 + tanh(x6 * square(x16 + x0))))) - x16) - x3) * 0.04973634),-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + tanh(x6*(x0 + x16)**2)),PySRFunction(X=>-0.04973634*x16 - 0.04973634*x3 + 0.04973634*sin(1.1735235*x17) - 0.04973634*tanh(2*x3 + tanh(x6*(x0 + x16)**2)))
30,0.00055454957,0.0005067334011320594,sin((((sin(x17 * 1.1735235) - tanh(x3 + (x3 + sin(x6 * square(x14 + x0))))) - x16) - x3) * 0.04973634),-sin(0.04973634*x16 + 0.04973634*x3 - 0.04973634*sin(1.1735235*x17) + 0.04973634*tanh(2*x3 + sin(x6*(x0 + x14)**2))),PySRFunction(X=>-sin(0.04973634*x16 + 0.04973634*x3 - 0.04973634*sin(1.1735235*x17) + 0.04973634*tanh(2*x3 + sin(x6*(x0 + x14)**2))))
