Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
36.79,-0.0039012315000966,-0.0059206821524168535,-0.0700698027442941,-0.061782867
36.8,-0.0038884773156885,-0.006495977730115239,-0.0701696457237823,-0.06177852696161483
36.81,-0.0038495283042588,-0.0075018166114283955,-0.0701394115909048,-0.061776176536796096
36.82,-0.0038061006251833,-0.00875918643690336,-0.0700562343543718,-0.061774824119384376
36.83,-0.0038307206201863,-0.010120233488121775,-0.0700823186485709,-0.06177321281587401
36.84,-0.0038554524413797,-0.011501496465789116,-0.0700554469758188,-0.06177167861317277
36.85,-0.0039426380039423,-0.012758495378603539,-0.0699173634813755,-0.06176728631339874
36.86,-0.0037372461195845,-0.013775714020073382,-0.0699610440332184,-0.061762448209381614
36.87,-0.0038426307068844,-0.014479529764305343,-0.0698541378157363,-0.06175850027773602
36.88,-0.0037435006573807,-0.014814476488196959,-0.0698778086607726,-0.06175690098730327
36.89,-0.0038212058619657,-0.01466445694800492,-0.0699192271153616,-0.06176026896546703
36.9,-0.0039044225688932,-0.014129194239265501,-0.0696613766708321,-0.06176514147741163
36.91,-0.003876096040118,-0.013375283487598404,-0.0696736924425815,-0.06176954836556007
36.92,-0.0038049797598928,-0.012552175135171328,-0.0695784605180223,-0.06177159815910491
36.93,-0.0037784898166319,-0.011746227005445142,-0.0696352701057075,-0.061771963123542335
36.94,-0.0038399510219376,-0.011057298338183585,-0.0694357792801181,-0.06177348543854102
36.95,-0.0038650215713935,-0.01042247473856973,-0.0693317354424261,-0.06177488961242864
36.96,-0.0038796675943354,-0.00993945572001181,-0.0693763537817768,-0.06177853239872608
36.97,-0.0038276633102524,-0.008663030303458063,-0.0692907453048464,-0.061771886107737095
36.98,-0.0039022902543293,-0.007890373364810806,-0.0692979714352352,-0.06177097588737402
36.99,-0.0040174338615898,-0.008768559608067814,-0.0691641972091424,-0.06176786998292333
37.0,-0.0040415154388844,-0.008831838651857552,-0.0690870348055809,-0.06175277401567593
37.01,-0.0042999174768037,-0.010554516199496627,-0.0689549920095219,-0.06170392888361859
37.02,-0.004260206968942,-0.012155556324628877,-0.0687737925283542,-0.06166801681473752
37.03,-0.0042610564547221,-0.013772706289708794,-0.0687076641725712,-0.061629732443752167
37.04,-0.0044131088767181,-0.015262183365748791,-0.0686452961892908,-0.06160045686250585
37.05,-0.0045945066629047,-0.016656390399060764,-0.068513640730247,-0.06157089978076908
37.06,-0.0046732767518856,-0.017616042517164972,-0.0684638707534376,-0.061548773494166625
37.07,-0.0048279016339418,-0.018167304765832656,-0.0682489031272426,-0.06153185464987876
37.08,-0.0049715422450745,-0.018130189403093026,-0.0682355605983891,-0.06151882298439939
37.09,-0.0051066514175509,-0.01791914482873073,-0.0681626407081951,-0.06149996083597701
37.1,-0.0052944470395486,-0.01746578030078122,-0.0680317253578369,-0.06148554106150221
37.11,-0.0054882094269649,-0.016897852631077986,-0.0679104381180977,-0.06146413674459564
37.12,-0.005644822625048,-0.016227229527545708,-0.0677995718323532,-0.06143064056875772
37.13,-0.0057581525656822,-0.015292003978676836,-0.0678068367014432,-0.061408459066663146
37.14,-0.0057528434070619,-0.013955742842499837,-0.0676972983198436,-0.06143572308549505
37.15,-0.0058313395771888,-0.012317654786891351,-0.0676074525957624,-0.0615121294890483
